Region,Animal species,Production system,Commodity,Emission Intensity (kg CO2e per kg protein),Production (kg protein),Total GHG emissions (kg CO2e),Total CO2 emissions (kg CO2e),Total CH4 emissions (kg CO2e),Total N2O emissions (kg CO2e),"Feed, CO2 (kg CO2e)","Feed, CH4 (kg CO2e)","Feed: fertilizer & crop residues, N2O (kg CO2e)","Feed: applied & deposited manure, N2O (kg CO2e)","LUC: soy & palm, CO2 (kg CO2e)","LUC: pasture expansion, CO2 (kg CO2e)","Enteric fermentation, CH4 (kg CO2e)","Manure management, CH4 (kg CO2e)","Manure management, N2O (kg CO2e)","Direct energy, CO2 (kg CO2e)","Indirect energy, CO2 (kg CO2e)","Postfarm, CO2 (kg CO2e)"
Global,Cattle,Aggregated,Aggregated,160.3,29163104088.00,4674630004526.00,944929928440.00,2648727469346.00,1080972606740.00,353472898877.00,,174073200019.00,741986436762.00,46879544228.00,387006214286.00,2509275304012.00,139452165333.00,164912969959.00,42155419009.00,15856531896.00,99559320145.00
Global,Cattle,Aggregated,Milk,86.7,18880885304.00,1637519018003.00,275691406265.00,967644226878.00,394183384860.00,138234019318.00,,71662075641.00,254388527100.00,14974206675.00,,885635162796.00,82009064082.00,68132782119.00,29934851371.00,3252888569.00,89295440332.00
Global,Cattle,Aggregated,Meat,295.4,10282218784.00,3037110986523.00,669238522175.00,1681083242468.00,686789221880.00,215238879559.00,,102411124378.00,487597909662.00,31905337553.00,387006214286.00,1623640141217.00,57443101251.00,96780187840.00,12220567639.00,12603643326.00,10263879813.00
Global,Cattle,Grassland systems,Aggregated,206.3,10338174726.00,2133054289187.00,562806229577.00,1052965148817.00,517282910793.00,111398227143.00,,52536600648.00,426761235035.00,8194329547.00,387006214286.00,996909632563.00,56055516254.00,37985075110.00,14173264181.00,4303271766.00,37730922654.00
Global,Cattle,Grassland systems,Milk,95,6940654476.00,659284424630.00,92861399862.00,371346057784.00,195076966984.00,44040030066.00,,21561262084.00,158783824942.00,2412100066.00,,336901779434.00,34444278350.00,14731879958.00,10786045291.00,999843541.00,34623380899.00
Global,Cattle,Grassland systems,Meat,433.8,3397520251.00,1473769864557.00,469944829714.00,681619091033.00,322205943809.00,67358197077.00,,30975338565.00,267977410093.00,5782229481.00,387006214286.00,660007853129.00,21611237904.00,23253195152.00,3387218890.00,3303428226.00,3107541755.00
Global,Cattle,Mixed systems,Aggregated,138.7,17306165403.00,2400047774757.00,352970480431.00,1522347154124.00,524730140202.00,223528141821.00,,110883861998.00,296910555628.00,36610357090.00,,1443988485138.00,78358668986.00,116935722575.00,24819555695.00,9048642222.00,58963783602.00
Global,Cattle,Mixed systems,Milk,81.9,11940230829.00,978234593372.00,182830006403.00,596298169094.00,199106417876.00,94193989252.00,,50100813557.00,95604702158.00,12562106610.00,,548733383361.00,47564785732.00,53400902161.00,19148806080.00,2253045028.00,54672059433.00
Global,Cattle,Mixed systems,Meat,265,5365934574.00,1421813181384.00,170140474028.00,926048985031.00,325623722326.00,129334152569.00,,60783048441.00,201305853470.00,24048250481.00,,895255101777.00,30793883254.00,63534820415.00,5670749615.00,6795597194.00,4291724169.00
Global,Cattle,Feedlots,Aggregated,93.2,1518763959.00,141527940582.00,29153218433.00,73415166405.00,38959555745.00,18546529913.00,,10652737372.00,18314646099.00,2074857591.00,,68377186311.00,5037980093.00,9992172274.00,3162599133.00,2504617907.00,2864613889.00
Global,Cattle,Feedlots,Meat,93.2,1518763959.00,141527940582.00,29153218433.00,73415166405.00,38959555745.00,18546529913.00,,10652737372.00,18314646099.00,2074857591.00,,68377186311.00,5037980093.00,9992172274.00,3162599133.00,2504617907.00,2864613889.00
