식품인증업소 관리 일련번호,업소번호,업소 명,자치구 코드,자치구 명,업종 코드,업종 명,업태 코드,업태 명,업주 명,식품인증구분,식품인증 구분명,인증일자,사용여부,지도표시여부,식품인증업소 등급,지도 Y좌표,지도 X좌표,전화번호,도로명상세주소,도로명주소코드,도로명주소,허가번호,최초작성일자,최종수정일자,업소인증메뉴,교부번호,인증여부
14379,,퀴즈노스 (LG트윈),3180000,영등포구,104,휴게음식점,10414,양식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5276713,126.928672,02-3773-1276,,,서울특별시 영등포구 여의대로 128 지하1층,,00:00.0,00:00.0,,,N
14059,,본죽 사당점,3190000,동작구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4804184,126.9813909,02-3474-4949,,,서울특별시 동작구 동작대로 43 (사당동)  호진빌딩 1층,,00:00.0,00:00.0,,,N
14060,,본 죽&비빔밥 이수점,3190000,동작구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4874313,126.9806737,02-534-6388,,,서울특별시 동작구 동작대로27길 23 (사당동) ,,00:00.0,00:00.0,,,N
14061,,본 죽&비빔밥 노량진점,3190000,동작구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5108108,126.9444658,02-3280-6288,,,서울특별시 동작구 만양로 81 (노량진동 문화독서실) ,,00:00.0,00:00.0,,,N
14062,,본 죽&비빔밥 보라매점,3190000,동작구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4913649,126.9233445,02-849-8814,,,서울특별시 동작구 보라매로5길 43 (신대방동 보라매삼성쉐르빌) 105호,,00:00.0,00:00.0,,,N
14063,,본 죽&비빔밥 남성역점,3190000,동작구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4844397,126.9723358,02-595-6288,,,서울특별시 동작구 사당로 215 (사당동 서림빌딩) 103호,,00:00.0,00:00.0,,,N
14064,,국수나무 (남성역),3190000,동작구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4844397,126.9723358,02-534-8333,,,서울특별시 동작구 사당로 215 서림빌딩,,00:00.0,00:00.0,,,N
14065,,본 죽&비빔밥 숭실대역점,3190000,동작구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4973537,126.9530692,02-817-6288,,,서울특별시 동작구 상도로 351 (상도동) 1층,,00:00.0,00:00.0,,,N
14066,,본도시락 보라매점,3190000,동작구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4995991,126.9251715,02-3280-4266,,,서울특별시 동작구 상도로 42 (대방동) 1층 2호,,00:00.0,00:00.0,,,N
14067,,본죽 신대방삼거리역점,3190000,동작구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4998973,126.9292386,02-825-6288,,,서울특별시 동작구 상도로 77 (대방동) ,,00:00.0,00:00.0,,,N
