시점,아시아,대한민국,아제르바이잔,바레인,방글라데시,브루나이,중국,인도,인도네시아,이란,이라크,이스라엘,일본,요르단,카자흐스탄,쿠웨이트,레바논,말레이시아,오만,파키스탄,필리핀,카타르,사우디아라비아,시리아,태국,투르크메니스탄,아랍에미리트,우즈베키스탄,베트남,예멘,북아메리카,캐나다,멕시코,미국,남아메리카,아르헨티나,볼리비아,브라질,칠레,콜롬비아,쿠바,에콰도르,파라과이,페루,트리니다드토바고,우루과이,베네수엘라,유럽,덴마크,에스토니아,프랑스,독일,이탈리아,네덜란드,노르웨이,폴란드,루마니아,러시아,슬로베니아,스웨덴,우크라이나,영국,아프리카,알제리,앙골라,베냉,보츠와나,카메룬,콩고,콩고민주공화국,코트디부아르,이집트,에리트레아,에티오피아,가봉,가나,케냐,리비아,모로코,모잠비크,나미비아,니제르,나이지리아,세네갈,남아프리카공화국,남수단,수단,탄자니아,토고,튀니지,오세아니아,오스트레일리아,뉴질랜드
1990,,237.9,92.1,13,15.7,4.5,2395.1,602,176.9,272.8,103.8,33.2,1063.7,9.3,250.9,37.4,5.6,57,18,67.4,41.5,14.9,213.4,54,85.6,105,68.1,136.8,23.5,11.9,,445.6,291.7,5112.3,,113.8,14.8,201.4,31.3,53.1,35,18.4,2.5,22,18.9,3.8,204.5,,52.6,35.7,354.7,956.9,397.3,149.5,29.8,350.5,176.4,2685.1,13.8,53.5,711.5,567.3,,104,12.4,0.6,3,6.2,6.8,6.5,3.4,94.7,,8,9.7,3.6,7.4,83,20.2,2.5,,1,131.5,2.3,273.9,,6.6,3.6,0.8,14.9,,278.2,23.2
1991,,261.3,88,12.5,15,4.7,2512.6,645.2,192.3,300.5,50.7,33.7,1075.8,9.3,260.5,9.3,7.1,68,22,69.2,40.8,17.8,245.6,62.1,94.9,97.1,75.7,138.4,24.5,13.8,,441.4,311.1,5073.8,,119,15.5,208.2,30,54.7,27.3,18.8,2.5,21.3,18.8,4.3,213.2,,63.3,31.9,380.5,934.8,396.5,155.6,27.9,352.8,146.6,2630.7,13,54.6,673.3,577.8,,108.4,12.7,0.5,2.9,14.5,6.8,5.2,3.5,96.4,,8.2,10.7,3.3,7.2,87.9,21.2,2.3,1.2,1,144.2,2.3,269.2,,6,3.6,0.8,15.1,,280.3,23.6
1992,,280.7,75,14.6,16.3,5,2614,662,201.7,318.5,76.7,35.9,1085.8,10.8,265.2,30.5,7.1,70.1,21.8,76.5,44.3,17.4,260,65.6,103.3,68.1,73.4,129.8,25.4,14.3,,456.1,313.8,5147.1,,121.5,15.8,212.6,31,56.7,22,20.1,2.8,22.1,18.7,4.7,215.7,,57.5,23.8,369.3,893.3,394.2,154.4,30.8,344.4,129.7,2430,12.7,57.2,585.1,565.5,,109,13.3,0.6,3.5,14.2,7,5,3.6,96.9,0.6,7.6,10.6,3.8,7.3,79.6,22.7,2.5,1.3,1,156.9,2.5,265.4,,5.7,3.7,0.6,16.5,,284.8,25.4
1993,,307.4,54.8,15.5,17.3,5.4,2830.8,685.7,215.3,327.2,102.4,39.4,1078.9,10.9,230.9,44.6,10.3,76.1,23.1,83.3,47.5,20.1,256.9,68.6,116.1,74.1,77.6,133,29.2,15.5,,453.3,322.7,5256,,123.6,14,219.5,33,59.8,20.3,20.9,3.1,22.7,14.5,4.5,225.2,,59.9,18.3,350.7,887.5,391.4,159.3,32.9,346.9,121.1,2262.8,13.5,56.9,511.1,549.5,,117.3,16.4,0.6,3.5,11.8,6.4,6.4,3.8,100.4,0.8,8.2,10.9,3.8,7.3,86.9,23.4,2.7,1.5,1.1,151.2,2.5,275.3,,4.4,3.9,0.5,16.4,,290,25
1994,,331.7,35.8,15.9,18.4,5.7,2935.9,718.9,229.5,358.2,118.3,42.3,1131.5,11.6,211.1,51.9,11.3,82.8,24.8,86.1,50.4,22.6,255.9,71.4,129.5,66.9,85.6,129.7,31.2,20.4,,468.9,347.6,5335,,125,12.7,227.3,36.3,60.4,21.9,23.4,3.6,23.1,11.1,4.1,228,,63.8,17.8,344.9,875.3,387.1,158.4,35,340.6,118.1,2054.4,13.5,58.9,426.9,543.5,,119.8,19.3,0.6,3.3,9.4,5.3,7.7,3.9,95.9,0.9,8.7,11.7,4.1,7.4,100.8,25.6,2.5,1.7,1.1,143.1,2.5,281.8,,6.2,4.7,0.8,16.1,,296.6,25.1
1995,,361.6,34.9,16.1,21.7,6.1,3264.7,770.8,253.9,363.5,116.8,45.3,1142.1,12.4,187.7,51.2,13.1,89.6,28.1,93,60.3,23.3,254.1,74.4,146.3,67.5,90.2,118.3,36.2,21.3,,481.3,330.6,5387.4,,128.1,10.7,244.7,39.6,64.3,23.1,25.3,4.1,25.9,10.7,4.6,247.8,,60.6,16.2,353,874,410.1,165.4,35.1,340.9,123.6,1994.9,14.4,58.6,411.6,535.4,,125.8,22.5,0.6,3.4,9.4,6.2,7.6,4.3,101.5,1,9.2,12.8,4.4,7.9,109.1,26.7,2.6,1.9,1.1,154,2.7,295,,5.9,5.4,0.8,16.3,,307.9,25.2
1996,,386.1,29.3,16.7,22,6.3,3232.8,805,267.6,372.9,116.1,47.5,1155.7,12.7,166.3,50.8,13.6,102.2,28.9,96.4,64.9,25.7,267.2,76.5,164.1,63.6,94.4,120.6,39.9,21.7,,496.4,347.1,5546.5,,138.9,10.4,264.4,45.7,64.1,25.3,28.5,4,28.4,11.6,5.3,270.5,,74.1,17.2,369.2,905.2,407.3,175.1,35.4,356.9,127.3,1958.4,15.2,64.1,359.7,554.4,,128.1,26.7,1.3,3.1,9.9,7.5,8.2,5.2,106.5,1.1,9.7,13.7,4.8,8.5,111.9,26.3,2.6,2,1.2,175.6,2.8,304.8,,5.9,5.8,1.2,17.1,,319,26.4
1997,,406.9,28.4,17.1,24.1,6.7,3286.1,848.9,291.9,386.2,148.8,49.7,1146.3,13.3,146.6,53,15.5,110,30,100,71.5,32.3,271.8,77,168.5,54.4,97.8,122.2,45.6,23,,512.2,368.5,5817.3,,142.4,11.6,282.9,52.2,70,27.3,29.5,4.5,28,12,5.4,286.7,,64.5,16.7,360.2,873,410.6,167.7,37.3,345.2,116.5,1832.5,15.6,57.9,340.6,532.6,,127.1,27.8,1.6,3.3,9.9,8,8.4,6.2,113,1,10.1,13.4,4.9,8.3,104.6,27.5,2.8,2.1,1.3,173,3.1,321.5,,7,5.7,0.9,17.7,,327.2,28.8
1998,,347.7,28.7,18.3,24.5,5.9,3382,863.7,295.7,382.6,139.2,49.8,1108.5,13.8,151.1,57.7,15.2,109.4,29.1,101.3,71.7,33.5,285.7,80.4,153.5,55.2,99,139,50.2,24,,521.3,391,5863.6,,149.6,10.5,292.3,52.8,71,27,28.9,4.6,27.2,12.3,5.6,291.5,,60.5,16.1,381.8,865.2,421.4,168,38.6,318.7,102.1,1835.1,15.3,58.9,320.1,534.4,,127.6,29.2,1.7,3.9,10.2,9.4,8.2,6.2,116.9,0.7,10.5,14.4,6.8,8.9,104,28.2,3.1,2.1,1.4,158.7,3.4,329.8,,6.7,5.6,1.1,18.5,,349.1,28.2
1999,,382.6,28.7,18.3,25.5,6,3281.6,924.2,312.4,416.3,127.7,51.2,1144.2,13.8,137.9,60,15.9,118.1,32,110.5,69.1,36.4,287.4,79.6,159.8,68.4,100.6,139.4,51.3,26.4,,530.7,380,5876.8,,152.3,10,303.2,55.5,62.8,28.1,26.1,4.6,29.6,12.6,6.6,274.1,,57.8,15.2,375.7,833.1,427.5,162.6,40.5,309.4,87.6,1881.8,14.7,57.7,317.3,532,,132.1,30.3,1.8,4.1,9.8,9.8,7.9,8.2,122.6,0.8,10.7,13.3,7.2,9.3,100.8,29.8,3.1,2.1,1.4,155,3.8,311.9,,7.6,5.6,1.4,19.5,,354.3,29.6
2000,,437,30.2,18.8,27,6.4,3466.8,960.2,310.3,439.9,144.4,55.4,1161.6,15.5,137,65.6,14.3,127.5,36.3,110.6,69.8,37,300.8,79.9,160.8,81.7,101.1,147.3,55.3,29.2,,551.6,405,6045.1,,151.2,10,317.2,51.5,64.9,28.8,26.6,3.8,29.1,13.3,5.3,286.3,,53.9,14.9,373.7,830.2,430.3,163.3,35.1,295.6,91.5,1926.8,14.4,53.7,308.8,540,,136.9,28.4,1.9,4.3,10.3,10.4,7.3,7.9,119,0.8,11.2,12.7,6,10.3,105.7,30.2,3.5,2,1.1,171.5,3.8,317.9,,8.5,6.2,1.3,20.1,,361.7,30.5
2001,,451.2,29.1,19.4,31.4,6.3,3635.8,975.5,329.9,452.8,150.9,56.7,1150.1,15.3,134.5,68.7,15.4,132.9,40,112.2,69.6,36.5,302.5,79.4,168.7,82.3,114,149.9,60.5,30.1,,544.6,405.2,6017.1,,145,10.1,324.3,49.6,65.6,27.9,29.4,4,26.9,15,4.7,289.9,,55.5,15.3,377.3,849.6,429.9,168.4,35.6,294.9,97.4,1938.5,15.3,52.8,311.8,554.5,,132.9,27.7,2.2,4.1,10.1,10,7.5,8,131.9,0.8,12.3,12.8,6.4,9.6,101.8,32.9,3.1,2.6,1.1,178.3,4.1,353.9,,9.8,6.5,1.1,21,,369.3,32.7
2002,,441.1,28.7,20.3,33.3,6.3,3902.5,1006.6,334.5,466.3,136.4,59.8,1188.6,15.8,152.4,70.1,15.4,139.4,41.6,115.1,69.1,40.3,319,80.2,178.8,85.7,114.8,155.9,69.2,30,,562.9,412.7,5856.2,,137.8,10.7,325.2,50.2,63,26.8,28.8,4.1,28.1,16.6,4.3,286.4,,55.1,14.9,371.4,835.8,437.3,168.7,35.2,289,96.1,1942.1,15.5,54.4,314.9,539.6,,138.2,27.8,2.5,4.3,10,7.3,7.7,8.6,134.4,0.8,12.7,12.1,7.6,9.5,100.5,34.1,3.4,2.2,1.2,162,4.2,363.8,,11.5,7.1,1.2,21,,377.5,32.6
2003,,443.1,31.1,21.1,35,7.3,4508.9,1032.7,364.1,500.6,115.7,61.6,1197.8,16.3,168.5,74.9,15.3,147,43.2,119.7,71.4,43.8,339.4,79.4,186.6,96.6,121.3,146.9,73.1,33,,583.8,434.5,5922,,148.6,11.8,320.5,51.2,62.2,26.1,29.8,4.3,27.5,20.3,4.2,272,,60.7,16.9,377.4,838.8,456.4,171.7,38,299.6,100.7,2015.7,15.4,55.7,340.3,551.5,,150,28.8,2.8,4.2,10.1,7.8,8.5,6.8,139.7,0.8,13.3,13.3,7.3,8.5,109,33.8,3.9,2.4,1.2,179,4.1,388,,11.6,7.4,1.4,20.8,,376.7,34.5
